date,CNVIX
2016-04-06,26.4837
2016-04-07,25.2592
2016-04-08,24.1945
2016-04-11,23.8957
2016-04-12,23.1908
2016-04-13,23.0045
2016-04-14,22.5220
2016-04-15,22.4777
2016-04-18,22.7168
2016-04-19,22.0348
2016-04-20,22.2102
2016-04-21,21.6382
2016-04-22,21.1427
2016-04-25,21.6981
2016-04-26,21.9666
2016-04-27,21.9445
2016-04-28,20.9400
2016-04-29,20.1945
2016-05-03,20.1506
2016-05-04,19.6619
2016-05-05,19.3978
2016-05-06,20.0324
2016-05-09,22.7460
2016-05-10,21.5983
2016-05-11,20.2267
2016-05-12,20.2571
2016-05-13,19.6340
2016-05-16,19.4158
2016-05-17,18.9789
2016-05-18,19.0110
2016-05-19,18.2926
2016-05-20,17.4830
2016-05-23,16.8116
2016-05-24,16.5684
2016-05-25,17.2226
2016-05-26,15.9211
2016-05-27,15.3572
2016-05-30,15.6551
2016-05-31,18.1179
2016-06-01,17.9646
2016-06-02,17.6781
2016-06-03,17.7981
2016-06-06,17.9071
2016-06-07,17.7125
2016-06-08,17.9960
2016-06-13,19.2644
2016-06-14,18.7399
2016-06-15,16.6856
2016-06-16,16.3035
2016-06-17,15.7423
2016-06-20,16.5069
2016-06-21,16.3346
2016-06-22,16.8699
2016-06-23,17.8129
2016-06-24,18.0104
2016-06-27,17.2593
2016-06-28,16.4201
2016-06-29,15.8671
2016-06-30,15.4660
2016-07-01,15.1549
2016-07-04,15.1276
2016-07-05,15.6184
2016-07-06,15.6147
2016-07-07,16.2433
2016-07-08,16.1755
2016-07-11,15.9718
2016-07-12,15.6407
2016-07-13,16.7473
2016-07-14,16.5199
2016-07-15,16.6072
2016-07-18,17.2829
2016-07-19,17.2813
2016-07-20,17.1985
2016-07-21,17.2133
2016-07-22,17.0095
2016-07-25,16.8197
2016-07-26,16.2413
2016-07-27,16.9585
2016-07-28,15.8472
2016-07-29,15.7727
2016-08-01,15.8584
2016-08-02,15.3686
2016-08-03,14.9428
2016-08-04,14.5747
2016-08-05,14.3516
2016-08-08,14.2544
2016-08-09,13.8065
2016-08-10,13.8895
2016-08-11,13.9654
2016-08-12,14.0183
2016-08-15,16.2047
2016-08-16,16.4241
2016-08-17,16.5921
2016-08-18,16.7076
2016-08-19,16.8300
2016-08-22,17.2099
2016-08-23,16.7765
2016-08-24,16.8289
2016-08-25,17.8249
2016-08-26,17.3111
2016-08-29,17.3208
2016-08-30,17.2804
2016-08-31,17.5636
2016-09-01,17.5415
2016-09-02,17.5361
2016-09-05,17.3778
2016-09-06,17.1869
2016-09-07,17.1768
2016-09-08,16.7270
2016-09-09,15.6787
2016-09-12,15.9242
2016-09-13,14.7487
2016-09-14,14.7399
2016-09-19,14.5636
2016-09-20,14.1659
2016-09-21,14.4692
2016-09-22,13.4839
2016-09-23,13.0894
2016-09-26,13.2827
2016-09-27,13.3895
2016-09-28,13.3340
2016-09-29,12.3443
2016-09-30,13.4243
2016-10-10,13.9263
2016-10-11,13.2670
2016-10-12,13.2454
2016-10-13,12.9739
2016-10-14,12.3685
2016-10-17,12.1969
2016-10-18,12.2997
2016-10-19,12.7577
2016-10-20,12.4033
2016-10-21,12.3414
2016-10-24,13.0465
2016-10-25,13.2827
2016-10-26,13.4713
2016-10-27,13.2168
2016-10-28,13.3303
2016-10-31,13.4001
2016-11-01,13.6022
2016-11-02,13.9943
2016-11-03,14.8563
2016-11-04,14.9575
2016-11-07,16.1039
2016-11-08,15.7786
2016-11-09,15.3947
2016-11-10,13.9719
2016-11-11,13.6645
2016-11-14,14.2852
2016-11-15,14.2289
2016-11-16,13.9460
2016-11-17,13.5678
2016-11-18,13.3824
2016-11-21,13.0965
2016-11-22,13.6922
2016-11-23,13.9132
2016-11-24,13.9236
2016-11-25,13.6694
2016-11-28,15.5124
2016-11-29,14.8837
2016-11-30,15.8910
2016-12-01,15.0828
2016-12-02,15.7822
2016-12-05,15.7757
2016-12-06,14.9828
2016-12-07,14.3380
2016-12-08,13.1752
2016-12-09,14.1058
2016-12-12,14.4063
2016-12-13,14.5142
2016-12-14,14.9702
2016-12-15,15.6591
2016-12-16,16.2549
2016-12-19,16.5218
2016-12-20,17.5599
2016-12-21,16.8792
2016-12-22,17.1434
2016-12-23,16.8121
2016-12-26,17.1346
2016-12-27,17.8007
2016-12-28,17.5815
2016-12-29,16.9799
2016-12-30,16.8043
2017-01-03,15.6205
2017-01-04,14.3135
2017-01-05,14.3354
2017-01-06,14.1614
2017-01-09,13.7382
2017-01-10,13.5206
2017-01-11,13.5260
2017-01-12,13.4286
2017-01-13,13.0228
2017-01-16,12.9619
2017-01-17,11.9472
2017-01-18,11.6542
2017-01-19,11.6630
2017-01-20,11.5009
2017-01-23,11.5135
2017-01-24,11.2583
2017-01-25,11.1258
2017-01-26,11.0406
2017-02-03,12.2535
2017-02-06,12.3606
2017-02-07,11.3320
2017-02-08,12.5837
2017-02-09,12.3997
2017-02-10,12.0988
2017-02-13,11.6057
2017-02-14,10.9568
2017-02-15,10.7051
2017-02-16,10.7163
2017-02-17,11.3785
2017-02-20,11.0884
2017-02-21,11.3448
2017-02-22,10.7641
2017-02-23,10.1461
2017-02-24,10.3289
2017-02-27,11.6241
2017-02-28,11.5397
2017-03-01,11.3093
2017-03-02,11.8652
2017-03-03,10.4231
2017-03-06,11.6124
2017-03-07,11.4465
2017-03-08,10.6109
2017-03-09,9.7983
2017-03-10,9.6235
2017-03-13,10.4459
2017-03-14,10.5815
2017-03-15,11.2348
2017-03-16,10.0463
2017-03-17,9.3388
2017-03-20,10.1057
2017-03-21,10.0061
2017-03-22,9.7065
2017-03-23,9.4085
2017-03-24,9.4456
2017-03-27,10.1460
2017-03-28,10.2209
2017-03-29,9.9223
2017-03-30,9.7846
2017-03-31,9.5139
2017-04-05,9.9285
2017-04-06,9.9521
2017-04-07,9.9171
2017-04-10,9.9681
2017-04-11,9.8377
2017-04-12,9.8523
2017-04-13,9.8794
2017-04-14,10.2730
2017-04-17,10.1137
2017-04-18,10.1178
2017-04-19,10.4204
2017-04-20,10.1134
2017-04-21,9.6392
2017-04-24,9.9634
2017-04-25,9.5372
2017-04-26,9.2068
2017-04-27,8.9146
2017-04-28,8.9258
2017-05-02,8.8293
2017-05-03,8.7868
2017-05-04,8.7891
2017-05-05,9.1046
2017-05-08,8.9932
2017-05-09,8.5765
2017-05-10,8.0039
2017-05-11,7.7614
2017-05-12,8.5245
2017-05-15,8.5636
2017-05-16,8.2729
2017-05-17,8.3817
2017-05-18,8.5415
2017-05-19,8.6244
2017-05-22,8.2317
2017-05-23,7.7468
2017-05-24,7.7507
2017-05-25,12.3679
2017-05-26,10.4176
2017-05-31,11.4724
2017-06-01,11.2116
2017-06-02,12.0902
2017-06-05,11.0290
2017-06-06,12.0655
2017-06-07,12.9579
2017-06-08,13.8248
2017-06-09,14.4711
2017-06-12,15.0495
2017-06-13,14.6696
2017-06-14,13.8082
2017-06-15,13.4146
2017-06-16,12.9280
2017-06-19,13.5217
2017-06-20,13.5482
2017-06-21,13.0944
2017-06-22,13.3162
2017-06-23,13.5389
2017-06-26,15.1673
2017-06-27,14.6812
2017-06-28,14.9565
2017-06-29,14.3576
2017-06-30,14.2750
2017-07-03,13.7917
2017-07-04,12.9962
2017-07-05,14.0642
2017-07-06,13.6820
2017-07-07,13.7085
2017-07-10,13.7161
2017-07-11,13.5576
2017-07-12,14.5856
2017-07-13,14.5813
2017-07-14,15.5194
2017-07-17,17.1182
2017-07-18,16.6447
2017-07-19,15.7853
2017-07-20,16.9369
2017-07-21,15.8808
2017-07-24,15.4598
2017-07-25,15.1484
2017-07-26,15.6905
2017-07-27,15.6439
2017-07-28,15.3570
2017-07-31,15.5418
2017-08-01,14.8673
2017-08-02,14.6370
2017-08-03,15.0361
2017-08-04,14.7141
2017-08-07,15.1349
2017-08-08,14.7807
2017-08-09,14.0299
2017-08-10,13.4847
2017-08-11,14.3850
2017-08-14,14.0434
2017-08-15,13.7846
2017-08-16,13.7041
2017-08-17,13.4918
2017-08-18,13.2202
2017-08-21,12.9619
2017-08-22,12.3632
2017-08-23,12.9218
2017-08-24,13.0655
2017-08-25,14.2550
2017-08-28,14.2000
2017-08-29,14.7960
2017-08-30,14.4991
2017-08-31,14.4282
2017-09-01,14.3473
2017-09-04,14.8361
2017-09-05,14.8231
2017-09-06,15.0562
2017-09-07,14.5060
2017-09-08,14.2585
2017-09-11,14.9134
2017-09-12,14.9744
2017-09-13,15.0870
2017-09-14,13.8535
2017-09-15,13.4032
2017-09-18,13.4986
2017-09-19,12.7535
2017-09-20,12.6163
2017-09-21,12.5957
2017-09-22,12.4167
2017-09-25,12.6362
2017-09-26,12.4688
2017-09-27,11.9655
2017-09-28,10.3642
2017-09-29,10.7895
2017-10-09,11.4360
2017-10-10,11.4682
2017-10-11,10.8871
2017-10-12,10.5053
2017-10-13,10.4899
2017-10-16,10.3930
2017-10-17,10.4831
2017-10-18,10.1093
2017-10-19,10.2867
2017-10-20,10.3043
2017-10-23,10.1720
2017-10-24,11.3461
2017-10-25,11.0826
2017-10-26,10.9571
2017-10-27,10.5109
2017-10-30,11.3987
2017-10-31,10.7557
2017-11-01,10.4453
2017-11-02,10.3946
2017-11-03,10.2256
2017-11-06,10.5122
2017-11-07,10.2544
2017-11-08,10.5852
2017-11-09,10.6915
2017-11-10,11.2556
2017-11-13,11.3574
2017-11-14,11.6859
2017-11-15,11.8139
